host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
compute5,nkbin,1,0.9,3.0,1000000,100,0,35565647,203,107,28391
compute5,nkbin,1,0.9,3.0,2154434,100,0,79218632,484,257,63259
compute5,nkbin,1,0.9,3.0,4641588,100,0,175525183,1112,575,148491
compute5,nkbin,1,0.9,3.0,10000000,100,0,386463703,2664,1227,360646
compute5,nkbin,1,0.9,3.0,21544346,100,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,3.0,46415888,100,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,3.0,100000000,100,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,3.0,4641,1000,0,758660,0,0,372
compute5,nkbin,1,0.9,3.0,10000,1000,0,1864603,1,0,963
compute5,nkbin,1,0.9,3.0,21544,1000,0,4498634,3,1,2426
compute5,nkbin,1,0.9,3.0,46415,1000,0,10965299,7,4,5672
compute5,nkbin,1,0.9,3.0,100000,1000,0,25921178,17,10,13196
compute5,nkbin,1,0.9,3.0,215443,1000,0,59977905,38,22,31456
compute5,nkbin,1,0.9,3.0,464158,1000,0,137542345,89,54,78583
compute5,nkbin,1,0.9,3.0,1000000,1000,0,311752538,204,126,173550
compute5,nkbin,1,0.9,3.0,2154434,1000,0,707910351,470,294,390453
compute5,nkbin,1,0.9,3.0,4641588,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,3.0,10000000,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,3.0,21544346,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,3.0,46415888,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,3.0,100000000,1000,0,-1,-1,-1,-1
compute5,nkbin,2,0.5,2.2,2154,10,0,5361,0,0,8
compute5,nkbin,2,0.5,2.2,4641,10,0,11679,0,0,20
compute5,nkbin,2,0.5,2.2,10000,10,0,28925,1,0,49
compute5,nkbin,2,0.5,2.2,21544,10,0,69496,3,1,98
compute5,nkbin,2,0.5,2.2,46415,10,0,138303,7,4,215
compute5,nkbin,2,0.5,2.2,100000,10,0,385065,16,9,536
compute5,nkbin,2,0.5,2.2,215443,10,0,848551,38,21,1292
compute5,nkbin,2,0.5,2.2,464158,10,0,1885718,89,53,3069
compute5,nkbin,2,0.5,2.2,1000000,10,0,3838580,206,113,5785
compute5,nkbin,2,0.5,2.2,2154434,10,0,8496928,484,256,13381
compute5,nkbin,2,0.5,2.2,4641588,10,0,19957003,1161,585,31903
compute5,nkbin,2,0.5,2.2,10000000,10,0,44833789,2722,1277,74500
compute5,nkbin,2,0.5,2.2,21544346,10,0,97617374,6378,2809,143296
