[CSV]host,iter,algo,n,avgDeg,alpha,PLE,R,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]compute5,2,NkOpt,10000000,100,1,3,24.8951,0.0,16790.2,500846644,100.169
[CSV]compute5,2,NkOpt,21544346,100,1,3,26.4301,0.0,35262,1078778076,100.145
[CSV]compute5,2,NkOpt,46415888,100,1,3,27.9655,0.0,77988.9,2319479442,99.9433
[CSV]compute5,2,NkOpt,100000000,100,1,3,29.5006,0.0,174195,5004536423,100.091
[CSV]compute5,2,NkOpt,21544,1000,1,3,7.93843,0.0,214.73,10713559,994.575
[CSV]compute5,2,NkOpt,46415,1000,1,3,9.50959,0.0,458.765,23101866,995.448
[CSV]compute5,2,NkOpt,100000,1000,1,3,11.0624,0.0,996.74,50380051,1007.6
[CSV]compute5,2,NkOpt,215443,1000,1,3,12.6062,0.0,2144.02,107749404,1000.26
[CSV]compute5,2,NkOpt,464158,1000,1,3,14.1456,0.0,4649.83,230582785,993.553
[CSV]compute5,2,NkOpt,1000000,1000,1,3,15.6828,0.0,9887.01,500128115,1000.26
[CSV]compute5,2,NkOpt,2154434,1000,1,3,17.2189,0.0,21305.3,1081789991,1004.25
[CSV]compute5,2,NkOpt,4641588,1000,1,3,18.7545,0.0,46076.4,2324850370,1001.75
[CSV]compute5,2,NkOpt,10000000,1000,1,3,20.2899,0.0,100361,5010783097,1002.16
[CSV]compute5,3,NkOpt,10000,10,0.6,2.2,19.2056,0.0,6.09076,51927,10.3854
[CSV]compute5,3,NkOpt,10000,10,0.6,2.2,19.2056,0.0,5.85,57754,11.5508
[CSV]compute5,3,NkOpt,21544,10,0.6,2.2,20.8558,0.0,11.9259,119164,11.0624
[CSV]compute5,3,NkOpt,46415,10,0.6,2.2,22.4896,0.0,25.7284,233015,10.0405
[CSV]compute5,3,NkOpt,100000,10,0.6,2.2,24.112,0.0,57.5242,457728,9.15456
[CSV]compute5,3,NkOpt,215443,10,0.6,2.2,25.7171,0.0,131.719,1017392,9.44465
[CSV]compute5,3,NkOpt,464158,10,0.6,2.2,27.3193,0.0,303.918,2328204,10.0319
[CSV]compute5,3,NkOpt,1000000,10,0.6,2.2,28.9054,0.0,633.949,4969287,9.93857
[CSV]compute5,3,NkOpt,2154434,10,0.6,2.2,30.488,0.0,1476.16,11210085,10.4065
[CSV]compute5,3,NkOpt,4641588,10,0.6,2.2,32.0655,0.0,3464.21,23586958,10.1633
[CSV]compute5,3,NkOpt,10000000,10,0.6,2.2,33.6363,0.0,7996.77,48666859,9.73337
[CSV]compute5,3,NkOpt,21544346,10,0.6,2.2,35.2051,0.0,16533.7,102015755,9.4703
[CSV]compute5,3,NkOpt,46415888,10,0.6,2.2,36.7676,0.0,39067.3,262275492,11.3011
[CSV]compute5,3,NkOpt,100000000,10,0.6,2.2,38.3262,0.0,88285.7,484438631,9.68877
[CSV]compute5,3,NkOpt,10000,100,0.6,2.2,14.0942,0.0,17.6319,522164,104.433
[CSV]compute5,3,NkOpt,10000,100,0.6,2.2,14.0942,0.0,17.1225,514744,102.949
[CSV]compute5,3,NkOpt,21544,100,0.6,2.2,15.8307,0.0,35.9477,1118176,103.804
[CSV]compute5,3,NkOpt,46415,100,0.6,2.2,17.531,0.0,73.1632,2204290,94.9818
[CSV]compute5,3,NkOpt,100000,100,0.6,2.2,19.2046,0.0,166.786,5041987,100.84
[CSV]compute5,3,NkOpt,215443,100,0.6,2.2,20.8564,0.0,348.352,10098930,93.7504
[CSV]compute5,3,NkOpt,464158,100,0.6,2.2,22.4907,0.0,801.418,23199293,99.9629
[CSV]compute5,3,NkOpt,1000000,100,0.6,2.2,24.1109,0.0,1656.01,48516548,97.0331
[CSV]compute5,3,NkOpt,2154434,100,0.6,2.2,25.7189,0.0,3684.94,106424120,98.7954
[CSV]compute5,3,NkOpt,4641588,100,0.6,2.2,27.3174,0.0,8334.54,234087723,100.865
[CSV]compute5,3,NkOpt,10000000,100,0.6,2.2,28.9074,0.0,18336.2,492953620,98.5907
[CSV]compute5,3,NkOpt,21544346,100,0.6,2.2,30.4901,0.0,39112.7,1082377822,100.479
[CSV]compute5,3,NkOpt,46415888,100,0.6,2.2,32.0667,0.0,86814.3,2342949268,100.955
[CSV]compute5,3,NkOpt,100000000,100,0.6,2.2,33.6378,0.0,190257,4902935597,98.0587
[CSV]compute5,3,NkOpt,21544,1000,0.6,2.2,10.4538,0.0,214.931,9798902,909.664
[CSV]compute5,3,NkOpt,46415,1000,0.6,2.2,12.309,0.0,464.451,21296132,917.64
[CSV]compute5,3,NkOpt,100000,1000,0.6,2.2,14.0941,0.0,1061.53,48494985,969.9
[CSV]compute5,3,NkOpt,215443,1000,0.6,2.2,15.8305,0.0,2275.72,103419914,960.068
[CSV]compute5,3,NkOpt,464158,1000,0.6,2.2,17.5312,0.0,5049.23,227426575,979.953
[CSV]compute5,3,NkOpt,1000000,1000,0.6,2.2,19.2046,0.0,10613.4,482875800,965.752
[CSV]compute5,3,NkOpt,2154434,1000,0.6,2.2,20.8563,0.0,23087.5,1052348474,976.914
[CSV]compute5,3,NkOpt,4641588,1000,0.6,2.2,22.4907,0.0,49781.6,2256471162,972.284
[CSV]compute5,3,NkOpt,10000000,1000,0.6,2.2,24.1108,0.0,109411,4952761890,990.552
[CSV]compute5,3,NkOpt,10000,10,1,3,15.683,0.0,5.60308,51079,10.2158
[CSV]compute5,3,NkOpt,10000,10,1,3,15.683,0.0,5.28956,50106,10.0212
[CSV]compute5,3,NkOpt,21544,10,1,3,17.2179,0.0,10.7531,107820,10.0093
[CSV]compute5,3,NkOpt,46415,10,1,3,18.7527,0.0,23.7457,229048,9.86957
[CSV]compute5,3,NkOpt,100000,10,1,3,20.2913,0.0,53.5354,492572,9.85144
[CSV]compute5,3,NkOpt,215443,10,1,3,21.8265,0.0,119.956,1075604,9.98504
[CSV]compute5,3,NkOpt,464158,10,1,3,23.3616,0.0,276.114,2310815,9.95702
